AFTER_LINE		SIZE_OF_STACK
1			1
2			0
3			1
4			0
5			0
6			0
7			1
8			2
9			1
10			0
11			1
12			2
13			1
14			0
15			1
16			2
17			1
18			0
19			0
6                       0
7                       1
8                       2
9                       1
10                      0
11                      1
12                      2
13                      1
14                      0
15                      1
16                      2
17                      1
18                      0
19                      0
6                       0
7                       1
8                       2
9                       1
10                      0
11                      1
12                      2
13                      1
14                      0
15                      1
16                      2
17                      1
18                      0
19                      0
6                       0
7                       1
8                       2
9                       1
10                      0
11                      1
12                      2
13                      1
14                      0
15                      1
16                      2
17                      1
18                      0
19                      0
6			0
7			1
8			2
9			1
10			0
20			0
21			0
22			1
